"No.","Time","Time Diff","Source","Destination","Protocol","Length","Info"
"4","0.003775","0.000155","192.168.2.9","192.168.2.3","HTTP","123","GET /otaku/anime/1 HTTP/1.1 "
"30","1.667904","0.000083","192.168.2.9","192.168.2.3","HTTP","123","GET /otaku/anime/2 HTTP/1.1 "
"40","2.854417","0.000135","192.168.2.9","192.168.2.3","HTTP","123","GET /otaku/anime/3 HTTP/1.1 "
"50","6.642943","0.000101","192.168.2.9","192.168.2.3","HTTP","123","GET /otaku/anime/4 HTTP/1.1 "
"60","10.637252","0.001469","192.168.2.9","192.168.2.3","HTTP","123","GET /otaku/anime/5 HTTP/1.1 "
"84","14.749535","0.000085","192.168.2.9","192.168.2.3","HTTP","123","GET /otaku/anime/6 HTTP/1.1 "
"106","18.750644","0.000121","192.168.2.9","192.168.2.3","HTTP","123","GET /otaku/anime/7 HTTP/1.1 "
"129","22.738093","0.000129","192.168.2.9","192.168.2.3","HTTP","123","GET /otaku/anime/8 HTTP/1.1 "
"151","26.731995","0.000082","192.168.2.9","192.168.2.3","HTTP","123","GET /otaku/anime/9 HTTP/1.1 "
"161","30.706698","0.000119","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/10 HTTP/1.1 "
"171","34.702534","0.000102","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/11 HTTP/1.1 "
"181","38.694153","0.000634","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/12 HTTP/1.1 "
"191","42.687327","0.000088","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/13 HTTP/1.1 "
"201","46.681158","0.000083","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/14 HTTP/1.1 "
"211","110.684443","0.000116","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/15 HTTP/1.1 "
"236","111.937318","0.000760","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/16 HTTP/1.1 "
"258","113.373386","0.000179","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/17 HTTP/1.1 "
"279","117.356481","0.000692","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/18 HTTP/1.1 "
"298","121.353178","0.000174","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/19 HTTP/1.1 "
"320","125.547033","0.000092","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/20 HTTP/1.1 "
"355","130.061559","0.000130","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/21 HTTP/1.1 "
"427","135.415573","0.000112","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/22 HTTP/1.1 "
"461","137.537774","0.001006","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/23 HTTP/1.1 "
"479","141.307040","0.000088","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/24 HTTP/1.1 "
"509","145.315959","0.000081","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/25 HTTP/1.1 "
"528","150.529523","0.000000","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/26 HTTP/1.1 "
"547","153.291665","0.000507","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/27 HTTP/1.1 "
"570","157.391797","0.000117","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/28 HTTP/1.1 "
"597","162.925216","0.002133","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/29 HTTP/1.1 "
"618","165.271185","0.000115","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/30 HTTP/1.1 "
"644","169.490287","0.000085","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/31 HTTP/1.1 "
"665","173.381756","0.000730","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/32 HTTP/1.1 "
"687","177.362528","0.000112","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/33 HTTP/1.1 "
"706","181.351135","0.000118","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/34 HTTP/1.1 "
"716","185.334324","0.000093","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/35 HTTP/1.1 "
"726","189.327402","0.000119","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/36 HTTP/1.1 "
"736","193.321374","0.000088","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/37 HTTP/1.1 "
"746","256.093661","0.000103","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/38 HTTP/1.1 "
"758","317.835407","0.094459","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/39 HTTP/1.1 "
"770","379.686344","0.092233","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/40 HTTP/1.1 "
"780","382.041671","0.094654","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/41 HTTP/1.1 "
"790","384.396959","0.094631","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/42 HTTP/1.1 "
"800","387.475682","0.000114","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/43 HTTP/1.1 "
"821","390.471014","0.000155","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/44 HTTP/1.1 "
"838","394.446691","0.000117","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/45 HTTP/1.1 "
"864","398.674160","0.000640","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/46 HTTP/1.1 "
"886","402.439488","0.000082","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/47 HTTP/1.1 "
"908","406.534941","0.000082","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/48 HTTP/1.1 "
"929","410.530902","0.000090","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/49 HTTP/1.1 "
"950","416.270669","0.000087","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/50 HTTP/1.1 "
"971","418.516701","0.000116","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/51 HTTP/1.1 "
"990","422.509892","0.000000","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/52 HTTP/1.1 "
"1011","426.605890","0.000109","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/53 HTTP/1.1 "
"1030","430.492352","0.000082","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/54 HTTP/1.1 "
"1050","435.721073","0.000120","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/55 HTTP/1.1 "
"1069","438.487536","0.003337","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/56 HTTP/1.1 "
"1088","443.600250","0.000108","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/57 HTTP/1.1 "
"1111","446.474727","0.000082","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/58 HTTP/1.1 "
"1129","450.467657","0.000117","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/59 HTTP/1.1 "
"1148","454.458583","0.000086","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/60 HTTP/1.1 "
"1169","458.453876","0.000117","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/61 HTTP/1.1 "
"1192","465.107858","0.000126","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/62 HTTP/1.1 "
"1212","466.438356","0.000083","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/63 HTTP/1.1 "
"1233","470.541169","0.000089","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/64 HTTP/1.1 "
"1243","533.091901","0.000083","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/65 HTTP/1.1 "
"1271","534.334164","0.000088","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/66 HTTP/1.1 "
"1297","537.104224","0.000089","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/67 HTTP/1.1 "
"1318","541.089543","0.000193","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/68 HTTP/1.1 "
"1341","548.171014","0.000138","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/69 HTTP/1.1 "
"1343","548.393837","0.178610","192.168.2.9","192.168.2.3","HTTP","124","[TCP Spurious Retransmission] GET /otaku/anime/69 HTTP/1.1 "
"1362","551.008283","0.000527","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/70 HTTP/1.1 "
"1372","613.067981","0.000087","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/71 HTTP/1.1 "
"1391","614.311876","0.000975","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/72 HTTP/1.1 "
"1410","616.986250","0.000000","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/73 HTTP/1.1 "
"1412","617.083947","0.043241","192.168.2.9","192.168.2.3","HTTP","124","[TCP Spurious Retransmission] GET /otaku/anime/73 HTTP/1.1 "
"1422","678.303227","0.000000","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/74 HTTP/1.1 "
"1434","739.432517","0.000135","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/75 HTTP/1.1 "
"1457","740.694611","0.000085","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/76 HTTP/1.1 "
"1476","742.111083","0.000086","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/77 HTTP/1.1 "
"1500","746.104579","0.000085","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/78 HTTP/1.1 "
"1509","809.172734","0.004813","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/79 HTTP/1.1 "
"1537","810.426847","0.000116","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/80 HTTP/1.1 "
"1561","812.667117","0.000085","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/81 HTTP/1.1 "
"1585","816.766491","0.000122","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/82 HTTP/1.1 "
"1604","822.185106","0.000089","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/83 HTTP/1.1 "
"1623","824.743889","0.000091","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/84 HTTP/1.1 "
"1644","828.752703","0.000215","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/85 HTTP/1.1 "
"1663","832.735727","0.000091","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/86 HTTP/1.1 "
"1690","839.151699","0.000111","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/87 HTTP/1.1 "
"1711","840.717764","0.000208","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/88 HTTP/1.1 "
"1733","848.218550","0.000116","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/89 HTTP/1.1 "
"1760","849.413988","0.000115","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/90 HTTP/1.1 "
"1786","852.705132","0.000085","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/91 HTTP/1.1 "
"1809","860.383939","0.000097","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/92 HTTP/1.1 "
"1830","861.709100","0.000128","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/93 HTTP/1.1 "
"1860","864.900615","0.000083","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/94 HTTP/1.1 "
"1892","868.702236","0.000086","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/95 HTTP/1.1 "
"1914","872.672428","0.001593","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/96 HTTP/1.1 "
"1933","876.668257","0.001497","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/97 HTTP/1.1 "
"1943","940.654702","0.000125","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/98 HTTP/1.1 "
"1962","941.895151","0.000092","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/99 HTTP/1.1 "
"1981","943.325781","0.000087","192.168.2.9","192.168.2.3","HTTP","125","GET /otaku/anime/100 HTTP/1.1 "
